,vvs_id,Elapsed,percent_depleted,product_vends,average_daily_sales,ExpMachine,rank_ads
387,852123,7.0,14.6132,95.0,12.5499,0,0.4801178203240059
388,854560,7.0,14.0402,99.0,12.5443,0,0.4801178203240059
389,859589,14.0,36.1032,231.0,12.5441,0,0.4801178203240059
390,862228,7.0,28.6533,116.0,12.5428,0,0.4801178203240059
391,864943,7.0,13.1806,94.0,12.5367,0,0.4801178203240059
392,867612,7.0,23.3525,151.0,12.5476,0,0.4801178203240059
393,870540,7.0,25.9313,120.0,12.5494,0,0.4801178203240059
394,873263,7.0,23.066,140.0,12.5553,0,0.4801178203240059
395,875856,7.0,27.7937,150.0,12.5633,0,0.4801178203240059
396,878677,7.0,23.4958,119.0,12.5632,0,0.4801178203240059
397,881517,7.0,23.066,147.0,12.5695,0,0.4801178203240059
398,884246,7.0,25.0717,151.0,12.5785,0,0.4801178203240059
399,886927,7.0,26.9341,160.0,12.5905,0,0.4801178203240059
400,888638,7.0,16.9055,84.0,12.5817,0,0.4801178203240059
401,891207,7.0,13.3238,119.0,12.5826,0,0.4801178203240059
402,893899,7.0,23.5786,129.0,12.586,0,0.4801178203240059
403,896476,7.0,18.0603,94.0,12.5797,0,0.4801178203240059
404,901301,17.0,22.0736,147.0,12.543,0,0.4801178203240059
405,902352,4.0,11.7057,12.0,12.5302,0,0.4801178203240059
406,904896,10.0,33.2776,136.0,12.5232,0,0.4801178203240059
408,907041,4.0,33.6121,65.0,12.5334,0,0.4801178203240059
409,909300,7.0,46.99,132.0,12.5397,0,0.4801178203240059
410,911665,7.0,34.9499,163.0,12.5503,0,0.4801178203240059
411,913946,7.0,30.7693,150.0,12.5584,0,0.4801178203240059
412,916332,7.0,30.9365,126.0,12.5614,0,0.4801178203240059
413,918556,7.0,27.9265,139.0,12.5667,0,0.4801178203240059
414,920862,7.0,28.7626,123.0,12.569,0,0.4801178203240059
415,923142,7.0,18.5619,108.0,12.567,0,0.4801178203240059
416,925544,7.0,23.2442,138.0,12.5725,0,0.4801178203240059
417,927786,7.0,23.9131,98.0,12.5698,0,0.4801178203240059
418,930138,7.0,23.4114,114.0,12.5684,0,0.4801178203240059
419,932319,7.0,20.2342,100.0,12.5641,0,0.4801178203240059
420,934585,7.0,26.7559,147.0,12.5729,0,0.4801178203240059
421,936840,7.0,24.9164,110.0,12.5711,0,0.4801178203240059
422,939205,7.0,18.0603,108.0,12.5687,0,0.4801178203240059
423,941397,7.0,27.7592,159.0,12.5807,0,0.4801178203240059
424,943960,7.0,31.4382,140.0,12.5876,0,0.4801178203240059
425,946155,7.0,28.7626,139.0,12.5946,0,0.4801178203240059
426,948217,8.0,26.8252,155.0,12.6009,0,0.4801178203240059
427,950087,6.0,21.7318,113.0,12.6046,0,0.4801178203240059
428,952220,7.0,22.5807,120.0,12.6063,0,0.4801178203240059
429,954397,7.0,20.034,129.0,12.6103,0,0.4801178203240059
430,956674,7.0,16.4686,101.0,12.6073,0,0.4801178203240059
431,958768,7.0,20.5433,137.0,12.6128,0,0.4801178203240059
432,960628,7.0,16.8082,66.0,12.5997,0,0.4801178203240059
433,962750,7.0,11.7148,92.0,12.5928,0,0.4801178203240059
434,964909,7.0,19.5247,119.0,12.5935,0,0.4801178203240059
435,967149,7.0,22.9203,95.0,12.588,0,0.4801178203240059
436,969286,7.0,28.8625,145.0,12.5946,0,0.4801178203240059
437,971430,7.0,34.1257,130.0,12.5979,0,0.4801178203240059
438,973506,7.0,20.5433,106.0,12.5947,0,0.4801178203240059
439,975632,7.0,14.2615,95.0,12.5896,0,0.4801178203240059
440,978050,8.0,17.9967,120.0,12.5865,0,0.4801178203240059
441,979945,6.0,16.6384,84.0,12.5819,0,0.4801178203240059
442,982207,7.0,17.8269,107.0,12.5789,0,0.4801178203240059
443,984536,7.0,22.5807,119.0,12.579,0,0.4801178203240059
444,986776,7.0,18.1664,97.0,12.5749,0,0.4801178203240059
445,989122,7.0,17.3175,83.0,12.5677,0,0.4801178203240059
446,991485,7.0,20.5433,109.0,12.5663,0,0.4801178203240059
447,993722,7.0,18.3362,83.0,12.5582,0,0.4801178203240059
448,996004,7.0,19.6944,95.0,12.5526,0,0.4801178203240059
449,998347,7.0,18.6758,93.0,12.5468,0,0.4801178203240059
450,1000612,7.0,23.2598,113.0,12.5461,0,0.4801178203240059
451,1002881,7.0,25.1274,112.0,12.5451,0,0.4801178203240059
452,1005181,7.0,24.4483,120.0,12.5457,0,0.4801178203240059
453,1006929,7.0,13.0731,63.0,12.5328,0,0.4801178203240059
454,1009193,7.0,19.1851,111.0,12.531,0,0.4801178203240059
455,1011404,7.0,19.3549,106.0,12.5282,0,0.4801178203240059
456,1013654,7.0,17.8269,84.0,12.5209,0,0.4801178203240059
457,1014859,7.0,9.5077,51.0,12.5051,0,0.4801178203240059
458,1016158,7.0,14.2615,58.0,12.4912,0,0.4801178203240059
459,1018398,7.0,18.3362,94.0,12.4857,0,0.4801178203240059
460,1020614,7.0,26.995,121.0,12.4873,0,0.4801178203240059
461,1022680,7.0,21.0527,83.0,12.4795,0,0.4801178203240059
462,1025110,7.0,14.7708,91.0,12.4738,0,0.4801178203240059
463,1027388,7.0,23.09,90.0,12.4683,0,0.4801178203240059
464,1029846,7.0,20.6279,101.0,12.4648,0,0.4801178203240059
1203,638387,6.0,24.0642,102.0,12.95,0,0.43593519882179677
1204,640548,6.0,43.6721,110.0,13.525,0,0.43593519882179677
1205,640762,1.0,5.7041,16.0,13.4269,0,0.43593519882179677
1206,643331,7.0,22.9947,128.0,13.54,0,0.43593519882179677
1207,646117,7.0,34.2246,117.0,13.25,0,0.43593519882179677
1208,648751,7.0,27.451,90.0,12.4868,0,0.43593519882179677
1209,651256,7.0,34.7677,162.0,13.3891,0,0.43593519882179677
1210,653802,7.0,31.1532,87.0,12.849,0,0.43593519882179677
1211,656509,7.0,19.9656,97.0,12.5428,0,0.43593519882179677
1212,659017,7.0,19.4493,119.0,12.5549,0,0.43593519882179677
1213,661656,7.0,21.8589,96.0,12.3501,0,0.43593519882179677
1214,664772,8.0,21.5147,122.0,12.2585,0,0.43593519882179677
1215,666851,6.0,20.482,78.0,12.0844,0,0.43593519882179677
1216,669474,7.0,16.8675,86.0,11.8612,0,0.43593519882179677
1217,671843,7.0,16.6954,65.0,11.5011,0,0.43593519882179677
1218,674836,7.0,14.4579,68.0,11.227,0,0.43593519882179677
1219,678924,10.0,27.3667,130.0,11.115,0,0.43593519882179677
1220,679879,4.0,36.8331,55.0,11.0899,0,0.43593519882179677
1221,682720,7.0,31.3254,109.0,11.1241,0,0.43593519882179677
1222,684908,7.0,39.2427,123.0,11.2478,0,0.43593519882179677
1223,687299,7.0,26.6782,73.0,11.0796,0,0.43593519882179677
1224,689975,7.0,29.0878,122.0,11.1706,0,0.43593519882179677
1225,692389,7.0,46.2995,175.0,11.5252,0,0.43593519882179677
1226,694795,7.0,43.3735,167.0,11.8163,0,0.43593519882179677
1227,697274,7.0,36.661,135.0,11.9414,0,0.43593519882179677
1228,701559,14.0,34.2513,204.0,11.8625,0,0.43593519882179677
1229,703976,7.0,13.4252,130.0,11.9511,0,0.43593519882179677
1230,706465,7.0,22.031,112.0,11.9572,0,0.43593519882179677
