cus_id,exp_id,pos_id,treatmentweek,Revenue1,Revenue0,Vends1,Vends0,Rebate0,Rebate1
93,1,14125     ,77,27.037674,26.603453725,65.00000000000000,65.86250000000000,1.3959054000000,0.9456480000000
93,1,14125     ,78,22.072448,22.14536185,54.00000000000000,54.40000000000000,1.0703016000000,1.2895200000000
93,1,14125     ,79,26.956196,26.4796853999999,64.00000000000000,65.56842105263140,1.3836323368420,1.2895200000000
93,1,14127     ,77,30.85845,32.2617937681158,76.00000000000000,78.95652173913016,1.6869662608695,1.8053280000000
93,1,14127     ,78,27.880914,28.9472187523808,67.00000000000000,70.25714285714254,1.4115126857143,1.3754880000000
93,1,14127     ,79,40.173732,39.0622714285714,93.00000000000000,95.85714285714272,2.0877942857143,1.2895200000000
93,1,14127     ,80,40.098088,40.0889753333333,97.00000000000000,96.99999999999987,1.6333920000000,2.2351680000000
93,1,14130     ,78,32.4735706,34.88690175,80.20000000000000,84.10000000000000,1.2938184000000,1.4786496000000
93,1,14130     ,79,39.8483726,41.7756152333333,98.00000000000000,101.11666666666655,1.7487324000000,1.5302304000000
93,1,14130     ,80,40.0538018,42.3814927222222,99.20000000000000,102.73333333333322,1.7680752000000,1.6161984000000
93,1,14133     ,77,44.3850963333331,48.6255219999998,105.99999999999940,107.55555555555501,0.8692320000000,0.9743040000000
93,1,14133     ,78,35.8109979999997,36.5110378476188,82.33333333333269,84.04761904761854,0.9935444571429,0.4584960000000
93,1,14133     ,80,46.3546916666664,48.6309269999998,106.99999999999938,107.99999999999961,0.8166960000000,0.8596800000000
93,1,14333     ,77,33.467979,33.264062,84.00000000000000,84.00000000000000,1.8912960000000,2.1492000000000
93,1,14333     ,78,28.785851,28.6868223333333,70.00000000000000,72.48888888888872,2.1071712000000,1.4614560000000
93,1,14333     ,79,30.633625,32.1957543392856,80.00000000000000,81.33928571428550,2.0555562857142,2.4930720000000
93,1,14333     ,80,29.946317,29.421466875,72.00000000000000,74.17500000000000,1.9385784000000,1.2035520000000
93,1,14334     ,78,33.447506,33.4836421714285,78.00000000000000,79.77142857142846,1.5449677714286,1.5474240000000
93,1,14334     ,79,42.895966,43.8667736666666,103.00000000000000,103.33333333333315,1.4757840000000,2.1492000000000
93,1,14334     ,80,42.849684,43.451936111111,102.00000000000000,102.88888888888865,1.6716000000000,2.0632320000000
93,1,17384     ,79,29.9964976,30.511154875,68.80000000000000,70.25000000000000,1.1498220000000,1.0660032000000
93,1,17384     ,80,30.4230864,33.59176075,74.00000000000000,76.08333333333321,0.9599760000000,1.2035520000000
93,1,17389     ,78,31.1859962,32.2849238333333,71.40000000000000,74.29999999999985,1.0631376000000,0.9800352000000
93,1,17389     ,79,31.1877606,31.2891288,68.80000000000000,70.40000000000000,0.7393248000000,0.6877440000000
93,1,17389     ,80,28.1840292,29.548264,62.60000000000000,64.50000000000000,0.3008880000000,0.4642272000000
93,1,23285     ,77,23.691943,26.66393925,63.00000000000000,67.15000000000000,1.7451504000000,2.0632320000000
93,1,23285     ,78,21.29049,23.224682,53.50000000000000,57.25000000000000,1.1261808000000,1.2895200000000
93,1,23285     ,80,29.915679,28.4857525,74.50000000000000,75.00000000000000,2.2781520000000,1.8053280000000
93,1,238       ,79,42.1996606666664,43.9211817777776,103.99999999999940,106.11111111111058,1.7862240000000,2.0059200000000
93,1,238       ,80,34.6512193333331,35.1319739999998,83.33333333333285,83.66666666666606,1.6620480000000,1.5474240000000
93,1,27792     ,77,42.78631,43.9398403333333,107.00000000000000,109.33333333333324,2.8942560000000,2.2351680000000
93,1,27792     ,78,33.704285,35.774755545,86.00000000000000,90.34500000000000,2.5356261600000,2.2351680000000
93,1,27792     ,79,54.527631,48.64274,130.00000000000000,130.00000000000000,4.2984000000000,2.5790400000000
93,1,27792     ,80,45.822291,44.843347,110.00000000000000,113.00000000000000,2.9229120000000,2.4930720000000
93,1,32039     ,77,51.359076,49.5370455714285,118.00000000000000,118.85714285714268,2.1369188571428,1.3754880000000
93,1,32039     ,78,37.030282,37.1464487151514,89.00000000000000,91.35757575757555,1.8642030545455,1.2895200000000
93,1,32039     ,79,50.935901,49.170115,117.00000000000000,118.62500000000000,2.1277080000000,1.3754880000000
93,1,32676     ,77,38.612144,41.9899429,93.00000000000000,94.55000000000000,1.2680280000000,1.8053280000000
93,1,32676     ,78,36.829888,33.4764347333333,80.00000000000000,81.19999999999984,2.0030544000000,1.1175840000000
93,1,32676     ,80,40.991786,42.63071535,96.00000000000000,98.45000000000000,1.8526104000000,2.2351680000000
93,1,34        ,77,42.956124,39.803459,99.00000000000000,99.50000000000000,2.8369440000000,1.2895200000000
93,1,34        ,78,35.046576,35.262436,79.00000000000000,80.50000000000000,1.0316160000000,0.6877440000000
93,1,34181     ,78,15.912304,16.8346202,36.00000000000000,39.29999999999993,1.0115568000000,0.9456480000000
93,1,34181     ,79,22.858979,23.17472145,52.00000000000000,53.62500000000000,1.1498220000000,1.1175840000000
93,1,34181     ,80,21.892124,22.1005186666666,47.00000000000000,50.73333333333326,1.1233152000000,0.9456480000000
93,1,5754      ,77,24.3389832,23.2066488,58.40000000000000,61.40000000000000,2.0288448000000,1.4098752000000
93,1,5754      ,78,22.3962008,20.3132624,53.60000000000000,55.00000000000000,1.7365536000000,1.2379392000000
93,1,5754      ,79,25.550334,23.2066488,60.80000000000000,61.40000000000000,2.0288448000000,1.4786496000000
93,2,14125     ,81,23.874342,26.3609995647058,64.00000000000000,65.22352941176455,1.3390780235294,1.3754880000000
