cus_id,exp_id,pos_id,treatmentweek,new_pro_id,Vends1,Vends0
93,1,14125     ,77,371,0.00000000000000,2.01250000000000
93,1,14125     ,77,888805,5.00000000000000,2.46250000000000
93,1,14125     ,77,888811,7.00000000000000,8.27500000000000
93,1,14125     ,78,370,5.00000000000000,2.50000000000000
93,1,14125     ,78,396,0.00000000000000,3.30000000000000
93,1,14125     ,78,563,0.00000000000000,1.70000000000000
93,1,14125     ,78,888804,2.00000000000000,2.55000000000000
93,1,14125     ,78,888836,0.00000000000000,0.00000000000000
93,1,14125     ,79,163,4.00000000000000,3.10526315789473
93,1,14125     ,79,189,2.00000000000000,2.24210526315789
93,1,14125     ,79,388,0.00000000000000,0.00000000000000
93,1,14125     ,79,404,7.00000000000000,4.49473684210526
93,1,14125     ,79,555,3.00000000000000,2.78947368421052
93,1,14125     ,79,568,5.00000000000000,3.34736842105263
93,1,14125     ,79,5902,1.00000000000000,3.08421052631578
93,1,14125     ,79,99901,2.00000000000000,2.18947368421052
93,1,14125     ,79,888803,1.00000000000000,2.07368421052631
93,1,14127     ,77,189,0.00000000000000,1.08695652173912
93,1,14127     ,77,199,0.00000000000000,0.18840579710144
93,1,14127     ,77,99901,9.00000000000000,5.18840579710144
93,1,14127     ,77,888803,2.00000000000000,2.13043478260867
93,1,14127     ,77,888816,6.00000000000000,3.65217391304346
93,1,14127     ,78,888805,1.00000000000000,2.59999999999998
93,1,14127     ,78,888831,16.00000000000000,7.25714285714282
93,1,14127     ,79,396,0.00000000000000,5.28571428571428
93,1,14127     ,79,563,1.00000000000000,7.85714285714285
93,1,14127     ,79,888801,0.00000000000000,7.99999999999999
93,1,14127     ,79,888804,7.00000000000000,6.57142857142855
93,1,14127     ,79,888836,5.00000000000000,3.85714285714285
93,1,14127     ,79,888846,1.00000000000000,2.14285714285714
93,1,14127     ,80,888803,4.00000000000000,0.99999999999999
93,1,14127     ,80,888816,7.00000000000000,5.66666666666666
93,1,14130     ,78,370,11.20000000000000,7.20000000000000
